Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Veteran,RSC004147,Atlasxv,Taurus,The N Ξ X U S,Solar,46.1,853,59,0.386,0.356,21,38,20180,10640,9540,43,28,75,119,36.10%,359.4,189.5,169.9,0.77,0.5,1.34,2.12,342,180.3,161.7,0.73,0.47,1.27,2.02,125,167,2.23,2.97,2.12,2.83
Veteran,RSC000190,Lead,Shake Weights,As Seen on TV!,Solar,45.9,800,50,0.472,0.4,20,30,18029,10690,7339,50,26,61,134,37.30%,342.4,203,139.4,0.95,0.49,1.16,2.54,360.6,213.8,146.8,1,0.52,1.22,2.68,122,131,2.32,2.49,2.44,2.62
Veteran,RSC000625,Sly,Supernova,The Cosmos,Solar,45.8,760,52,0.523,0.538,28,24,17488,10190,7298,49,18,61,134,36.60%,349.6,203.7,145.9,0.98,0.36,1.22,2.68,336.3,196,140.3,0.94,0.35,1.17,2.58,119,112,2.38,2.24,2.29,2.15
Veteran,RSC004889,Steeltoehammer,Lightning,Electric Mayhem,Lunar,45.6,720,49,0.53,0.551,27,22,16289,8460,7829,27,24,68,116,23.30%,343.7,178.5,165.2,0.57,0.51,1.43,2.45,332.4,172.7,159.8,0.55,0.49,1.39,2.37,105,97,2.22,2.05,2.14,1.98
Veteran,RSC004192,Spurilly,Centaurs,The Forest,Lunar,45.6,308,20,0.299,0.3,6,14,6631,3590,3041,11,14,26,49,22.40%,327.1,177.1,150,0.54,0.69,1.28,2.42,331.6,179.5,152.1,0.55,0.7,1.3,2.45,32,56,1.58,2.76,1.6,2.8
Veteran,RSC003987,Dovahkiin,Gorillas,The Jungle,Solar,45.5,598,38,0.541,0.553,21,17,13247,7880,5367,36,18,46,108,33.30%,336.5,200.2,136.3,0.91,0.46,1.17,2.74,348.6,207.4,141.2,0.95,0.47,1.21,2.84,100,90,2.54,2.29,2.63,2.37
Veteran,RSC004487,Savant,"Blue Angels
Centaurs
Shake Weights","Warbirds
The Forest
As Seen on TV!",Lunar,45.5,650,45,0.414,0.422,19,26,14764,8180,6584,25,28,68,88,28.40%,345.1,191.2,153.9,0.58,0.65,1.59,2.06,328.1,181.8,146.3,0.56,0.62,1.51,1.96,94,117,2.2,2.73,2.09,2.6
Veteran,RSC000865,Level 76 Metapod,Fantastic Four,The Comic Crusaders,Lunar,45.3,437,30,0.656,0.733,22,8,9354,5300,4054,18,20,36,70,25.70%,325.2,184.2,140.9,0.63,0.7,1.25,2.43,311.8,176.7,135.1,0.6,0.67,1.2,2.33,79,52,2.75,1.81,2.63,1.73
Veteran,RSC000151,Bdbr,Anger,Inferno,Solar,45,948,63,0.553,0.571,36,27,20777,11570,9207,50,40,62,147,34.00%,333,185.4,147.5,0.8,0.64,0.99,2.36,329.8,183.7,146.1,0.79,0.63,0.98,2.33,168,147,2.69,2.36,2.67,2.33
Veteran,RSC000124,Mrfelon,Typhoons,Storm,Solar,44.7,783,54,0.47,0.481,26,28,18350,9720,8630,38,22,73,117,32.50%,356,188.6,167.4,0.74,0.43,1.42,2.27,339.8,180,159.8,0.7,0.41,1.35,2.17,112,121,2.17,2.35,2.07,2.24
Veteran,RSC004544,Uf2,Humpbacks,Whale Defense,Solar,44.5,391,26,0.546,0.577,15,11,8702,4770,3932,22,12,26,67,32.80%,338.1,185.3,152.8,0.85,0.47,1.01,2.6,334.7,183.5,151.2,0.85,0.46,1,2.58,62,55,2.41,2.14,2.38,2.12
Veteran,RSC001934,Bosnia_2003,Water,The Elements,Solar,44.1,885,56,0.441,0.393,22,34,19317,11230,8087,42,34,78,143,29.40%,331.6,192.8,138.8,0.72,0.58,1.34,2.45,344.9,200.5,144.4,0.75,0.61,1.39,2.55,129,150,2.21,2.57,2.3,2.68
Veteran,RSC002096,Fjord,Peppermint,Minty Fresh,Solar,43.8,998,64,0.5,0.516,33,31,22788,12240,10548,46,26,94,164,28.00%,346.9,186.3,160.6,0.7,0.4,1.43,2.5,356.1,191.3,164.8,0.72,0.41,1.47,2.56,147,147,2.24,2.24,2.3,2.3
Veteran,RSC003405,Shai,"King Ghidorah
Taurus","Kaiju
The N Ξ X U S",Solar,43.6,635,41,0.468,0.415,17,24,14863,8190,6673,23,21,80,84,27.40%,355.6,195.9,159.6,0.55,0.5,1.91,2.01,362.5,199.8,162.8,0.56,0.51,1.95,2.05,91,99,2.18,2.37,2.22,2.41
Veteran,RSC004598,Clem,Gladiators,The Sovereign,Lunar,43.5,833,54,0.366,0.333,18,36,18939,10700,8239,38,27,86,125,30.40%,345.4,195.1,150.3,0.69,0.49,1.57,2.28,350.7,198.1,152.6,0.7,0.5,1.59,2.31,117,165,2.13,3.01,2.17,3.06
Veteran,RSC002200,Machu,Gorillas,The Jungle,Solar,42.5,886,56,0.506,0.554,31,25,18984,11300,7684,45,34,73,145,31.00%,325.5,193.8,131.8,0.77,0.58,1.25,2.49,339,201.8,137.2,0.8,0.61,1.3,2.59,134,132,2.3,2.26,2.39,2.36
Veteran,RSC000032,Bravenewwrld,Arctic Wolves,Sub Zero,Solar,42.2,782,53,0.527,0.547,29,24,16066,8640,7426,34,36,43,129,26.40%,312.1,167.8,144.3,0.66,0.7,0.84,2.51,303.1,163,140.1,0.64,0.68,0.81,2.43,117,109,2.27,2.12,2.21,2.06
Veteran,RSC000322,Humble Potato,"Typhoons
Lightning","Storm
Electric Mayhem",Lunar,41.9,334,23,0.436,0.435,10,13,8000,4570,3430,17,9,40,42,40.50%,363.9,207.9,156,0.77,0.41,1.82,1.91,347.8,198.7,149.1,0.74,0.39,1.74,1.83,43,51,1.96,2.32,1.87,2.22
Veteran,RSC004375,Cotni,Gladiators,The Sovereign,Lunar,41.3,63,4,0.467,0.5,2,2,1486,850,636,5,1,4,10,50.00%,358.3,205,153.4,1.21,0.24,0.96,2.41,371.5,212.5,159,1.25,0.25,1,2.5,12,13,2.89,3.13,3,3.25
Veteran,RSC000601,Bxffled,Ballycastle Bats,Quidditch League,Solar,41.1,727,44,0.504,0.545,24,20,16198,9140,7058,41,15,60,129,31.80%,338.5,191,147.5,0.86,0.31,1.25,2.7,368.1,207.7,160.4,0.93,0.34,1.36,2.93,100,99,2.09,2.07,2.27,2.25
Veteran,RSC001989,Avidreaper1117,Makos,Shark Attack,Lunar,40.9,930,64,0.611,0.578,37,27,19794,10320,9474,35,40,69,137,25.50%,323.3,168.6,154.8,0.57,0.65,1.13,2.24,309.3,161.3,148,0.55,0.63,1.08,2.14,162,121,2.65,1.98,2.53,1.89
Veteran,RSC002812,Gtg Sugar,"Gladiators
Grizzly Bears","The Sovereign
The Bear Den",Lunar,38.4,655,43,0.369,0.256,11,32,14694,7840,6854,26,18,68,94,27.70%,340.8,181.8,159,0.6,0.42,1.58,2.18,341.7,182.3,159.4,0.6,0.42,1.58,2.19,79,112,1.83,2.6,1.84,2.6
Veteran,RSC002513,Supercruz101,Shake Weights,As Seen on TV!,Solar,38.3,706,46,0.486,0.457,21,25,14679,8040,6639,27,26,58,114,23.70%,315.9,173,142.9,0.58,0.56,1.25,2.45,319.1,174.8,144.3,0.59,0.57,1.26,2.48,112,116,2.41,2.5,2.43,2.52
Veteran,RSC002513,Supercruz101,Shake Weights,As Seen on TV!,Solar,38.3,706,46,0.486,0.457,21,25,14679,8040,6639,27,26,58,114,23.70%,315.9,173,142.9,0.58,0.56,1.25,2.45,319.1,174.8,144.3,0.59,0.57,1.26,2.48,112,116,2.41,2.5,2.43,2.52
Veteran,RSC002571,Google Girth,Xenomorphs,The Monster Mash,Lunar,38.2,816,56,0.458,0.464,26,30,17151,9390,7761,38,27,58,134,28.40%,319.3,174.8,144.5,0.71,0.5,1.08,2.49,306.3,167.7,138.6,0.68,0.48,1.04,2.39,123,137,2.29,2.55,2.2,2.45
Veteran,RSC002792,Duke Of Chutney,King Ghidorah,Kaiju,Solar,37.8,776,47,0.437,0.404,19,28,16982,9710,7272,45,21,59,121,37.20%,332.5,190.1,142.4,0.88,0.41,1.16,2.37,361.3,206.6,154.7,0.96,0.45,1.26,2.57,107,126,2.09,2.47,2.28,2.68
Veteran,RSC000945,Domino,Mastiffs,Puppy Paradise,Lunar,37.8,777,52,0.435,0.481,25,27,16637,8500,8137,31,25,59,120,25.80%,325.3,166.2,159.1,0.61,0.49,1.15,2.35,319.9,163.5,156.5,0.6,0.48,1.13,2.31,95,113,1.86,2.21,1.83,2.17
Veteran,RSC002729,Z_Snuggles,Hart Foundation,Rocket Association Wrestling,Lunar,37.6,841,55,0.522,0.527,29,26,17602,9640,7962,45,23,50,149,30.20%,318,174.1,143.8,0.81,0.42,0.9,2.69,320,175.3,144.8,0.82,0.42,0.91,2.71,127,120,2.29,2.17,2.31,2.18
Veteran,RSC003012,Fluffles,Anger,Inferno,Solar,36.6,77,4,0.435,0.25,1,3,1575,870,705,3,3,6,12,25.00%,310.7,171.6,139.1,0.59,0.59,1.18,2.37,393.8,217.5,176.3,0.75,0.75,1.5,3,11,13,2.17,2.56,2.75,3.25
Veteran,RSC003012,Fluffles,Anger,Inferno,Solar,36.6,77,4,0.435,0.25,1,3,1575,870,705,3,3,6,12,25.00%,310.7,171.6,139.1,0.59,0.59,1.18,2.37,393.8,217.5,176.3,0.75,0.75,1.5,3,11,13,2.17,2.56,2.75,3.25
Veteran,RSC000278,Tinsel,Peppermint,Minty Fresh,Solar,36.3,534,34,0.415,0.382,13,21,11017,5950,5067,22,23,37,75,29.30%,313.4,169.3,144.2,0.63,0.65,1.05,2.13,324,175,149,0.65,0.68,1.09,2.21,73,91,2.08,2.59,2.15,2.68
Veteran,RSC000278,Tinsel,Peppermint,Minty Fresh,Solar,36.3,534,34,0.415,0.382,13,21,11017,5950,5067,22,23,37,75,29.30%,313.4,169.3,144.2,0.63,0.65,1.05,2.13,324,175,149,0.65,0.68,1.09,2.21,73,91,2.08,2.59,2.15,2.68
Veteran,RSC002267,Dooqal,Hart Foundation,Rocket Association Wrestling,Lunar,36,607,40,0.434,0.45,18,22,12126,6240,5886,18,24,45,99,18.20%,303.5,156.2,147.3,0.45,0.6,1.13,2.48,303.2,156,147.2,0.45,0.6,1.13,2.48,78,93,1.95,2.33,1.95,2.33
Veteran,RSC000848,Wittinghalo64,Humpbacks,Whale Defense,Solar,36,762,48,0.546,0.542,26,22,15829,8390,7439,23,26,72,119,19.30%,315.6,167.3,148.3,0.46,0.52,1.44,2.37,329.8,174.8,155,0.48,0.54,1.5,2.48,125,111,2.49,2.21,2.6,2.31
Veteran,RSC003239,Wallaby Gangsta,Grizzly Bears,The Bear Den,Lunar,34.3,659,44,0.451,0.386,17,27,13743,7370,6373,29,18,50,107,27.10%,316.8,169.9,146.9,0.67,0.41,1.15,2.47,312.3,167.5,144.8,0.66,0.41,1.14,2.43,87,99,2.01,2.28,1.98,2.25
Veteran,RSC002493,Chitrl,King Ghidorah,Kaiju,Solar,34.2,244,16,0.426,0.438,7,9,5169,2720,2449,9,9,21,32,28.10%,321.8,169.4,152.5,0.56,0.56,1.31,1.99,323.1,170,153.1,0.56,0.56,1.31,2,33,40,2.05,2.49,2.06,2.5
Veteran,RSC003366,No U,King Ghidorah,Kaiju,Solar,34,718,47,0.384,0.383,18,29,15670,8150,7520,24,23,74,90,26.70%,331.6,172.4,159.1,0.51,0.49,1.57,1.9,333.4,173.4,160,0.51,0.49,1.57,1.91,88,120,1.86,2.54,1.87,2.55
Veteran,RSC004109,Hawkish,Centaurs,The Forest,Lunar,33.6,603,41,0.35,0.341,14,27,12444,6550,5894,28,16,39,100,28.00%,313.5,165,148.5,0.71,0.4,0.98,2.52,303.5,159.8,143.8,0.68,0.39,0.95,2.44,76,113,1.91,2.85,1.85,2.76
Veteran,RSC001075,Spoilt,"Water
Taurus
Lightning","The Elements
The N Ξ X U S
Electric Mayhem",Solar,33,753,51,0.447,0.431,22,29,16164,8880,7284,36,22,63,103,35.00%,326.1,179.2,147,0.73,0.44,1.27,2.08,316.9,174.1,142.8,0.71,0.43,1.24,2.02,101,116,2.04,2.34,1.98,2.27
Veteran,RSC001501,Konstant,Arctic Wolves,Sub Zero,Solar,32.8,188,14,0.475,0.429,6,8,3741,1920,1821,6,10,12,22,27.30%,302.3,155.2,147.2,0.48,0.81,0.97,1.78,267.2,137.1,130.1,0.43,0.71,0.86,1.57,31,33,2.51,2.67,2.21,2.36
Veteran,RSC004366,Fingergunsjesus,Taurus,The N Ξ X U S,Solar,32.5,444,30,0.403,0.333,10,20,8753,4710,4043,17,14,31,76,22.40%,299.5,161.2,138.3,0.58,0.48,1.06,2.6,291.8,157,134.8,0.57,0.47,1.03,2.53,64,82,2.19,2.81,2.13,2.73
Veteran,RSC001891,P0L1K,Seadevils,The Abyss,Lunar,32.4,350,23,0.466,0.478,11,12,7087,4080,3007,16,12,27,53,30.20%,307.6,177.1,130.5,0.69,0.52,1.17,2.3,308.1,177.4,130.7,0.7,0.52,1.17,2.3,57,62,2.47,2.69,2.48,2.7
Veteran,RSC002216,Dan,"Calzones
Gorillas","Fifty-Fifty Pizzeria
The Jungle",Solar,32.2,438,30,0.432,0.4,12,18,9255,4730,4525,22,8,28,73,30.10%,321,164.1,156.9,0.76,0.28,0.97,2.53,308.5,157.7,150.8,0.73,0.27,0.93,2.43,56,67,1.94,2.32,1.87,2.23
Veteran,RSC003746,Archhie,Water,The Elements,Solar,32.1,283,17,0.37,0.235,4,13,5754,3010,2744,10,10,22,41,24.40%,308.9,161.6,147.3,0.54,0.54,1.18,2.2,338.5,177.1,161.4,0.59,0.59,1.29,2.41,37,52,1.99,2.79,2.18,3.06
Veteran,RSC000441,Wolfocus,X-ray,The Wavelengths,Solar,31.8,682,45,0.302,0.244,11,34,15337,8160,7177,33,14,66,86,38.40%,341.6,181.8,159.9,0.74,0.31,1.47,1.92,340.8,181.3,159.5,0.73,0.31,1.47,1.91,86,145,1.92,3.23,1.91,3.22
Veteran,RSC000106,Nagz,Typhoons,Storm,Solar,31.2,687,49,0.457,0.49,24,25,13869,7370,6499,23,23,58,102,22.50%,306.7,163,143.7,0.51,0.51,1.28,2.26,283,150.4,132.6,0.47,0.47,1.18,2.08,93,104,2.06,2.3,1.9,2.12
Veteran,RSC000178,Scias,Centaurs,The Forest,Lunar,31.1,61,4,0.224,0,0,4,1235,590,645,1,2,6,9,11.10%,307.6,146.9,160.6,0.25,0.5,1.49,2.24,308.8,147.5,161.3,0.25,0.5,1.5,2.25,7,15,1.74,3.74,1.75,3.75
Veteran,RSC000178,Scias,Centaurs,The Forest,Lunar,31.1,61,4,0.224,0,0,4,1235,590,645,1,2,6,9,11.10%,307.6,146.9,160.6,0.25,0.5,1.49,2.24,308.8,147.5,161.3,0.25,0.5,1.5,2.25,7,15,1.74,3.74,1.75,3.75
Veteran,RSC004165,.Tor.,Blue Angels,Warbirds,Lunar,30.8,207,12,0.463,0.333,4,8,4167,2680,1487,13,6,15,33,39.40%,305.8,196.7,109.1,0.95,0.44,1.1,2.42,347.3,223.3,123.9,1.08,0.5,1.25,2.75,30,33,2.2,2.42,2.5,2.75
Veteran,RSC004331,Cujo,Anger,Inferno,Solar,30.5,486,35,0.418,0.457,16,19,9390,4990,4400,25,15,18,84,29.80%,293.5,156,137.5,0.78,0.47,0.56,2.63,268.3,142.6,125.7,0.71,0.43,0.51,2.4,74,91,2.31,2.84,2.11,2.6
Veteran,RSC004615,Happiness,"Centaurs
Xenomorphs","The Forest
The Monster Mash",Lunar,28.9,270,20,0.341,0.3,6,14,5536,2830,2706,11,12,17,28,39.30%,311.5,159.2,152.3,0.62,0.68,0.96,1.58,276.8,141.5,135.3,0.55,0.6,0.85,1.4,35,53,1.97,2.98,1.75,2.65
Veteran,RSC002937,Sirtommynoble,"Lightning
Linguini Lancers","Electric Mayhem
Italian Battalion",Lunar,28.3,630,40,0.592,0.65,26,14,12422,7220,5202,25,21,55,92,27.20%,299.5,174.1,125.4,0.6,0.51,1.33,2.22,310.6,180.5,130.1,0.63,0.53,1.38,2.3,102,80,2.46,1.93,2.55,2
Veteran,RSC004194,Legacy,"Centaurs
Lynx","The Forest
Polar Vortex",Lunar,27.9,526,35,0.412,0.4,14,21,10925,6330,4595,27,13,45,73,37.00%,315.5,182.8,132.7,0.78,0.38,1.3,2.11,312.1,180.9,131.3,0.77,0.37,1.29,2.09,75,94,2.17,2.71,2.14,2.69
Veteran,RSC004794,Buddha,King Ghidorah,Kaiju,Solar,27.1,645,40,0.383,0.35,14,26,13271,7020,6251,25,15,57,92,27.20%,312.6,165.3,147.2,0.59,0.35,1.34,2.17,331.8,175.5,156.3,0.63,0.38,1.43,2.3,80,109,1.88,2.57,2,2.73
Veteran,RSC004207,Hanson6351,"X-ray
King Ghidorah","The Wavelengths
Kaiju",Solar,24.1,112,8,0.222,0.125,1,7,2332,1100,1232,3,2,11,15,20.00%,316.3,149.2,167.1,0.41,0.27,1.49,2.03,291.5,137.5,154,0.38,0.25,1.38,1.88,8,19,1.09,2.58,1,2.38
Veteran,RSC000426,Struttrl,Fantastic Four,The Comic Crusaders,Lunar,23.4,648,41,0.537,0.585,24,17,12719,7170,5549,23,25,58,72,31.90%,298.2,168.1,130.1,0.54,0.59,1.36,1.69,310.2,174.9,135.3,0.56,0.61,1.41,1.76,111,101,2.6,2.37,2.71,2.46
Veteran,RSC003816,Anserem,Xenomorphs,The Monster Mash,Lunar,22.5,541,40,0.383,0.35,14,26,10558,5910,4648,23,16,42,71,32.40%,296.5,166,130.5,0.65,0.45,1.18,1.99,264,147.8,116.2,0.58,0.4,1.05,1.78,74,100,2.08,2.81,1.85,2.5
Veteran,RSC000037,Md,"Centaurs
Xenomorphs","The Forest
The Monster Mash",Lunar,22,424,29,0.357,0.379,11,18,8140,4140,4000,12,14,34,54,22.20%,291.7,148.3,143.3,0.43,0.5,1.22,1.93,280.7,142.8,137.9,0.41,0.48,1.17,1.86,49,72,1.76,2.58,1.69,2.48
Veteran,RSC000763,Rogueum,"X-ray
Gladiators","The Wavelengths
The Sovereign",Lunar,21.6,262,18,0.258,0.333,6,12,4908,2650,2258,12,7,14,40,30.00%,284.6,153.7,130.9,0.7,0.41,0.81,2.32,272.7,147.2,125.4,0.67,0.39,0.78,2.22,33,63,1.91,3.65,1.83,3.5
Veteran,RSC000029,Mccool,Grizzly Bears,The Bear Den,Lunar,18.6,196,12,0.4,0.333,4,8,3682,1950,1732,3,8,21,20,15.00%,285.4,151.1,134.2,0.23,0.62,1.63,1.55,306.8,162.5,144.3,0.25,0.67,1.75,1.67,27,35,2.09,2.71,2.25,2.92
Veteran,RSC000227,Xiluym,X-ray,The Wavelengths,Solar,16.7,656,41,0.399,0.366,15,26,11880,6260,5620,23,25,39,76,30.30%,275.1,145,130.2,0.53,0.58,0.9,1.76,289.8,152.7,137.1,0.56,0.61,0.95,1.85,95,123,2.2,2.85,2.32,3
Veteran,RSC004415,Pat,Mastiffs,Puppy Paradise,Lunar,15.3,410,29,0.375,0.448,13,16,7856,4020,3836,13,8,36,52,25.00%,291.1,149,142.1,0.48,0.3,1.33,1.93,270.9,138.6,132.3,0.45,0.28,1.24,1.79,51,71,1.89,2.63,1.76,2.45
Veteran,RSC000185,Robwobwob,"X-ray
Centaurs
Calzones","The Wavelengths
The Forest
Fifty-Fifty Pizzeria",Solar,13,327,22,0.377,0.318,7,15,5948,3470,2478,16,8,21,42,38.10%,276.3,161.2,115.1,0.74,0.37,0.98,1.95,270.4,157.7,112.6,0.73,0.36,0.95,1.91,46,63,2.14,2.93,2.09,2.86
Veteran,RSC001337,Hotdog,"Lynx
Werewolves","Polar Vortex
The Bestiary",Lunar,12.2,637,42,0.391,0.405,17,25,11495,6180,5315,22,19,46,73,30.10%,274.1,147.4,126.8,0.52,0.45,1.1,1.74,273.7,147.1,126.5,0.52,0.45,1.1,1.74,86,114,2.05,2.72,2.05,2.71
Veteran,RSC000594,Hewhogrins,"Gorillas
Taurus","The Jungle
The N Ξ X U S",Solar,12.1,260,17,0.245,0.176,3,14,4569,2220,2349,4,8,22,32,12.50%,267,129.7,137.3,0.23,0.47,1.29,1.87,268.8,130.6,138.2,0.24,0.47,1.29,1.88,28,57,1.64,3.33,1.65,3.35
Veteran,RSC001015,Bak3R,Blue Angels,Warbirds,Lunar,11.8,44,4,0.549,0.5,2,2,741,370,371,2,1,1,7,28.60%,255.8,127.7,128.1,0.69,0.35,0.35,2.42,185.3,92.5,92.8,0.5,0.25,0.25,1.75,9,8,3.11,2.76,2.25,2
Veteran,RSC000796,Hoyci,"Werewolves
Seadevils
Titanium","The Bestiary
The Abyss
Metal",Lunar,10.9,706,46,0.398,0.413,19,27,11946,6490,5456,19,26,49,84,22.60%,257.1,139.7,117.4,0.41,0.56,1.05,1.81,259.7,141.1,118.6,0.41,0.57,1.07,1.83,110,142,2.37,3.06,2.39,3.09
Veteran,RSC002742,Rob Bee,Grizzly Bears,The Bear Den,Lunar,10.3,57,4,0.123,0,0,4,1216,530,686,1,1,7,3,33.30%,324.1,141.3,182.8,0.27,0.27,1.87,0.8,304,132.5,171.5,0.25,0.25,1.75,0.75,4,14,1.07,3.73,1,3.5
Veteran,,Iesblueice,King Ghidorah,Kaiju,Solar,7.9,14,1,0.274,0,0,1,168,120,48,0,1,1,2,0.00%,182.3,130.2,52.1,0,1.09,1.09,2.17,168,120,48,0,1,1,2,1,2,1.09,2.17,1,2
Veteran,RSC000443,Enceyy,Gladiators,The Sovereign,Lunar,7.6,698,45,0.315,0.244,11,34,12058,6340,5718,23,20,45,79,29.10%,262.4,138,124.5,0.5,0.44,0.98,1.72,268,140.9,127.1,0.51,0.44,1,1.76,87,142,1.89,3.09,1.93,3.16
Veteran,RSC002133,Lmao Beer Me,Water,The Elements,Solar,7.2,38,3,0.5,0.333,1,2,755,270,485,1,1,2,2,50.00%,301.8,107.9,193.9,0.4,0.4,0.8,0.8,251.7,90,161.7,0.33,0.33,0.67,0.67,6,6,2.4,2.4,2,2
Veteran,RSC004993,Summit670Rl,Werewolves,The Bestiary,Lunar,3.6,151,9,0.458,0.444,4,5,2580,1580,1000,5,3,15,18,27.80%,259.6,159,100.6,0.5,0.3,1.51,1.81,286.7,175.6,111.1,0.56,0.33,1.67,2,28,31,2.82,3.12,3.11,3.44
Veteran,RSC001537,Nullidea,Gorillas,The Jungle,Solar,-3.4,107,8,0.168,0.25,2,6,1773,880,893,4,1,6,13,30.80%,251.7,124.9,126.8,0.57,0.14,0.85,1.85,221.6,110,111.6,0.5,0.13,0.75,1.63,10,27,1.42,3.83,1.25,3.38
Veteran,RSC002229,Banshii,X-ray,The Wavelengths,Solar,-6.6,58,4,0.114,0.25,1,3,756,430,326,2,4,0,3,66.70%,198,112.6,85.4,0.52,1.05,0,0.79,189,107.5,81.5,0.5,1,0,0.75,7,22,1.83,5.76,1.75,5.5
Veteran,RSC002229,Banshii,X-ray,The Wavelengths,Solar,-6.6,58,4,0.114,0.25,1,3,756,430,326,2,4,0,3,66.70%,198,112.6,85.4,0.52,1.05,0,0.79,189,107.5,81.5,0.5,1,0,0.75,7,22,1.83,5.76,1.75,5.5
Veteran,RSC003416,Drskimmilk,"Water
Centaurs","The Elements
The Forest",Lunar,-7.4,125,8,0.456,0.375,3,5,2113,1020,1093,3,1,11,12,25.00%,256.8,124,132.8,0.36,0.12,1.34,1.46,264.1,127.5,136.6,0.38,0.13,1.38,1.5,16,18,1.94,2.19,2,2.25
Veteran,RSC003416,Drskimmilk,"Water
Centaurs","The Elements
The Forest",Lunar,-7.4,125,8,0.456,0.375,3,5,2113,1020,1093,3,1,11,12,25.00%,256.8,124,132.8,0.36,0.12,1.34,1.46,264.1,127.5,136.6,0.38,0.13,1.38,1.5,16,18,1.94,2.19,2,2.25
Veteran,RSC000726,Way2Luckee,Gladiators,The Sovereign,Lunar,-15.2,72,5,0.174,0,0,5,1139,550,589,1,1,7,5,20.00%,240.3,116,124.3,0.21,0.21,1.48,1.05,227.8,110,117.8,0.2,0.2,1.4,1,4,12,0.84,2.53,0.8,2.4
Veteran,RSC003929,Whoviancat,Taurus,The N Ξ X U S,Solar,-25.2,55,4,0.261,0,0,4,727,290,437,0,1,4,4,0.00%,200.8,80.1,120.7,0,0.28,1.1,1.1,181.8,72.5,109.3,0,0.25,1,1,5,10,1.38,2.76,1.25,2.5
Veteran,RSC003929,Whoviancat,Taurus,The N Ξ X U S,Solar,-25.2,55,4,0.261,0,0,4,727,290,437,0,1,4,4,0.00%,200.8,80.1,120.7,0,0.28,1.1,1.1,181.8,72.5,109.3,0,0.25,1,1,5,10,1.38,2.76,1.25,2.5
Veteran,RSC005029,Jalapeño,Werewolves,The Bestiary,Lunar,-40.9,51,4,0.045,0,0,4,752,350,402,0,0,7,0,,224,104.3,119.7,0,0,2.09,0,188,87.5,100.5,0,0,1.75,0,2,14,0.6,4.17,0.5,3.5
Rival,,;Obi-Wan Snowglobie,Wings,Fifty-Fifty Pizzeria,Solar,96.6,982,63,0.647,0.603,38,25,28012,17230,10782,83,53,76,248,33.50%,425.4,261.6,163.7,1.26,0.8,1.15,3.77,444.6,273.5,171.1,1.32,0.84,1.21,3.94,196,134,2.98,2.03,3.11,2.13
Rival,RSC004658,Yuvaxx,Holyhead Harpies,Quidditch League,Solar,91.3,173,12,0.41,0.333,4,8,4953,2920,2033,17,9,8,37,45.90%,426.9,251.7,175.2,1.47,0.78,0.69,3.19,412.8,243.3,169.4,1.42,0.75,0.67,3.08,34,42,2.93,3.62,2.83,3.5
Rival,RSC003880,Dumby,Sea Fury,Warbirds,Lunar,90.1,805,53,0.765,0.717,38,15,22417,13920,8497,63,42,72,192,32.80%,415.2,257.8,157.4,1.17,0.78,1.33,3.56,423,262.6,160.3,1.19,0.79,1.36,3.62,166,77,3.07,1.43,3.13,1.45
Rival,RSC004904,Capricious,Shih Tzus,Puppy Paradise,Lunar,86.7,838,59,0.595,0.593,35,24,25199,14080,11119,45,41,121,148,30.40%,448.4,250.5,197.9,0.8,0.73,2.15,2.63,427.1,238.6,188.5,0.76,0.69,2.05,2.51,133,103,2.37,1.83,2.25,1.75
Rival,RSC003012,Fluffles,Greed,Inferno,Solar,85.8,309,21,0.493,0.476,10,11,8657,5190,3467,24,16,27,64,37.50%,417.8,250.5,167.3,1.16,0.77,1.3,3.09,412.2,247.1,165.1,1.14,0.76,1.29,3.05,55,56,2.65,2.7,2.62,2.67
Rival,RSC003012,Fluffles,Greed,Inferno,Solar,85.8,309,21,0.493,0.476,10,11,8657,5190,3467,24,16,27,64,37.50%,417.8,250.5,167.3,1.16,0.77,1.3,3.09,412.2,247.1,165.1,1.14,0.76,1.29,3.05,55,56,2.65,2.7,2.62,2.67
Rival,RSC004843,Beastmod1015,Snowy Owls,Sub Zero,Solar,84,765,50,0.682,0.7,35,15,21087,12440,8647,58,28,66,194,29.90%,411,242.5,168.5,1.13,0.55,1.29,3.78,421.7,248.8,172.9,1.16,0.56,1.32,3.88,143,87,2.79,1.7,2.86,1.74
Rival,RSC004753,Wonderl_,Sea Fury,Warbirds,Lunar,82.8,726,48,0.79,0.75,36,12,18416,11030,7386,54,46,34,163,33.10%,378.3,226.5,151.7,1.11,0.94,0.7,3.35,383.7,229.8,153.9,1.13,0.96,0.71,3.4,161,69,3.31,1.42,3.35,1.44
Rival,RSC005035,Broskijazz,Sea Fury,Warbirds,Lunar,80.4,57,4,0.624,0.5,2,2,1593,930,663,6,0,3,18,33.30%,416.7,243.3,173.4,1.57,0,0.78,4.71,398.3,232.5,165.8,1.5,0,0.75,4.5,11,8,2.88,2.09,2.75,2
